AL REINA SOFIA	Albereda Reina Doña Sofía
CL NUM 3 L'HORTETA ALTA CAMP	Calle Num 3 l'Horteta Alta Camp
CL NUM 3 LA VENTETA	Calle Num 3 la Venteta
CL NUM 4 BARRANC DEL GALLEGO	Calle Num 4 Barranc del Gallego
CL NUM 4 C BLANCA-C BARBETA	Calle Num 4 C Blanca-C Barbeta
CL NUM 4 CANYADA A I BIRLET	Calle Num 4 Canyada A I Birlet
CL NUM 4 CORRAL DE COCOTA	Calle Num 4 Corral de Cocota
CL NUM 4 CORRAL DEL COLERO	Calle Num 4 Corral del Colero
CL NUM 4 MANYES-BARBETA	Calle Num 4 Manyes-Barbeta
CL NUM 4 MAS DE BARCOS	Calle Num 4 Mas de Barcos
CL NUM 4 MOLLO BLANC	Calle Num 4 Mollo Blanc
CL NUM 4 RONDA EST	Calle Num 4 Ronda Est
CL NUM 4 LA VENTETA	Calle Num 4 la Venteta
CL NUM 5 BARRANC DEL GALLEGO	Calle Num 5 Barranc del Gallego
CL NUM 5 CANYADA A I BIRLET	Calle Num 5 Canyada A I Birlet
CL NUM 5 CORRAL DE COCOTA	Calle Num 5 Corral de Cocota
CL NUM 5 CORRAL DEL COLERO	Calle Num 5 Corral del Colero
CL NUM 5 FONT CARRASQUERA	Calle Num 5 Font Carrasquera
CL NUM 5 MANYES-BARBETA	Calle Num 5 Manyes-Barbeta
CL NUM 6 BARRANC DEL GALLEGO	Calle Num 6 Barranc del Gallego
CL NUM 6 CANYADA A I BIRLET	Calle Num 6 Canyada A I Birlet
CL NUM 6 CANYADA DEL CORRAL	Calle Num 6 Canyada del Corral
CL NUM 6 CORRAL DE COCOTA	Calle Num 6 Corral de Cocota
CL NUM 6 MANYES-BARBETA	Calle Num 6 Manyes-Barbeta
CL NUM 6 MAS DE BARCOS	Calle Num 6 Mas de Barcos
CL NUM 7 BARRANC DEL GALLEGO	Calle Num 7 Barranc del Gallego
CL NUM 7 CANYADA A I BIRLET	Calle Num 7 Canyada A I Birlet
CL NUM 7 CORRAL DE COCOTA	Calle Num 7 Corral de Cocota
CL NUM 8 CANYADA A I BIRLET	Calle Num 8 Canyada A I Birlet
CL NUM 9 CANYADA A I BIRLET	Calle Num 9 Canyada A I Birlet
CL NUM H8 UE 7.11	Calle Num H8 Ue 7.11
CL NUM1 U.E. 7.10	Calle Num1 U.E. 7.10
CL NUMERO   1 CALICANTO	Calle Numero 1 Calicanto
CL NUMERO   1 CAMPING	Calle Numero 1 Camping
CL NUMERO 1 FONT DE LA TEULA	Calle Numero 1 Font de la Teula
CL NUMERO  10 PALOMAS	Calle Numero 10 Palomas
CL NUMERO   2 CAMPING	Calle Numero 2 Camping
CL NUMERO   4 CALICANTO	Calle Numero 4 Calicanto
CL NUMERO   6 PALOMAS	Calle Numero 6 Palomas
CL OM	Calle Om
CL ORFEO DEL CERCLE CATOLIC	Calle Orfeo del Cercle Catolic
CL ORONETES	Calle Oronetes
CL PARRA	Calle Parra
CL PATI DELS ÀNGELS	Calle Pati Dels Àngels
CL PI	Calle Pi
CL PINTOR CALO CARRATALA	Calle Pintor Calo Carratala
CL PINTOR MIRO	Calle Pintor Miro
CL PINTOR PEDRO CAMARA	Calle Pintor Pedro Camara
CL PIROTÈCNICS JERICO	Calle Pirotècnics Jerico
CL PROLONGACIO CARLET	Calle Prolongacio Carlet
CL QUINZE DE JUNY	Calle Quinze de Juny
CL RIEROL	Calle Rierol
CL RIU CÀNYOLES	Calle Riu Cànyoles
CL RIU EBRE	Calle Riu Ebre
CL RIU SERPIS	Calle Riu Serpis
CL ROS	Calle Ros
CL ROSALIA DE CASTRO	Calle Rosalia de Castro
CL ROSELLA	Calle Rosella
CL ROSERAR	Calle Roserar
CL ROSSINYOL	Calle Rossinyol
CL SALZE	Calle Salze
CL SANT GAIETÀ	Calle San Cayetano
CL SANT PANCRAÇ	Calle Sant Pancraç
CL SANTA APOLONIA S 11	Calle Santa Apolonia S 11
CL SANTA GEMMA	Calle Santa Gemma
CL SENDA NUMERO 1	Calle Senda Numero 1
CL SOROLLA	Calle Sorolla
CL TEIXIDORS	Calle Teixedors
CL TIMO	Calle Timo
CL TINTORERS	Calle Tintorers
CL TOLL-L'ALBERCA CARRER H	Calle Toll-L'Alberca Carrer H
CL TORIS	Calle Toris
CL TOSSAL	Calle Tossal
CL TRAGINERS	Calle Traginers
CL TREBALLADORS	Calle Treballadors
CL TÒQUIO-64	Calle Tòquio-64
CL UE SUR PRI RONDA ESTE	Calle Ue Sur Pri Ronda Este
CL VEDAT ZONA 1	Calle Vedat Zona 1
CL VICENT GALBIS	Calle Vicent Galbis
CL VICENT GONZALEZ LIZONDO	Calle Vicent Gonzalez Lizondo
CL VILLAR EL	Calle Villar el
CL VINT-I-CINC D'ABRIL	Calle Vint-I-Cinc d'Abril
CL XOPS	Calle Xops
CL YUSTE	Calle Yuste
CL PINEDO	Calle de Pinedo
CL PERU	Calle de Pinedo
CL CRONISTA VT BEGUER ESTEVE	Calle del Cronista Vicent Beguer Esteve
CL MAR JÒNIC	Calle del Mar Jónico
CL MAR CANTÀBRIC	Calle del Mar Jónico
CL DESCOBRIMENT	Calle del Marino
CL CANYADA DE L'ALBARDER	Cami Canyada De L'Albarder
CM CÀNTERS	Camino/Carmen Cànters
CM GUINDILLA	Camino/Carmen Guindilla
CM MALA PUJADA	Camino/Carmen Mala Pujada
CM MARXADELLA	Camino/Carmen Marxadella
CM TRAVESSA DE LA	Camino/Carmen Travessa de la
CM UVAS LAS	Camino/Carmen Uvas las
CL CAMI REIAL	Camí Reial
PD XARCOS SECS	Camí Xarcos Secs
PD BARBETA	Camí de Barbeta
PD COVATELLES	Camí de Covatelles
CM FAJARDET	Camí de Fajardet
PD BANDERILLA	Camí de la Banderilla
PD CANYADA D'ALONSO I BIRLET	Camí de la Canyada de Birlet
PD CASA BLANCA	Camí de la Caseta Blanca
CL NUM 1 FONT DE MANYES	Camí de la Font de Manyes
CL NUM 4 FONT DE MANYES	Camí de la Font de Manyes
CL NUM 6 FONT DE MANYES	Camí de la Font de Manyes
CL NUM 5 FONT DE MANYES	Camí de la Font de Manyes
CL NUM 2 FONT DE MANYES	Camí de la Font de Manyes
CL NUM 8 FONT DE MANYES	Camí de la Font de Manyes
CL NUM 7 FONT DE MANYES	Camí de la Font de Manyes
CM MALA MATA	Camí de la Mala Mata
CL NUM 4 CASETA LA PARDALA	Camí de la Pardala
CL NUM 6 CASETA LA PARDALA	Camí de la Pardala
CL NUM 2 CASETA LA PARDALA	Camí de la Pardala
CL NUM 8 CASETA LA PARDALA	Camí de la Pardala
CL NUM 7 CASETA LA PARDALA	Camí de la Pardala
CL NUM 3 CASETA LA PARDALA	Camí de la Pardala
CL NUM 9 CASETA LA PARDALA	Camí de la Pardala
CL NUM 5 CASETA LA PARDALA	Camí de la Pardala
CL NUM 1 CASETA LA PARDALA	Camí de la Pardala
CM CANYADES	Camí de les Canyades
CL NUM 3 MADRONYAL	Camí del Madronyal
CL NUM 12 MADRONYAL	Camí del Madronyal
CL NUM 13 MADRONYAL	Camí del Madronyal
CL NUM 5 MADRONYAL	Camí del Madronyal
CL NUM 10 MADRONYAL	Camí del Madronyal
CL NUM 8 MADRONYAL	Camí del Madronyal
CL NUM 4 MADRONYAL	Camí del Madronyal
CL NUM 9 MADRONYAL	Camí del Madronyal
CL NUM 7 MADRONYAL	Camí del Madronyal
CM NUMERO 1 MAS DE PAVIA	Camí del Mas de Pavia
PD MAS DEL JUTGE	Camí del Mas del Jutge
CM REALON	Camí del Realón
CM ROMERAL	Camí del Romeral
CL NUM 4 CANYADA DEL CORRAL	Canyada del Corral
CL NUM 5 CANYADA DEL CORRAL	Canyada del Corral
CL NUM 2 CANYADA DEL CORRAL	Canyada del Corral
CL NUM 1 CANYADA DEL CORRAL	Canyada del Corral
CL ESTANISLAU ALBEROLA	Carrer  Estanislao Alberola
CL ABASTIDORS	Carrer Abastidors
CL ALACANT	Carrer Alacant
CL ALBARDERS	Carrer Albalders
CL ALCUDIA	Carrer Alcúdia de Carlet
CL AMETLERS	Carrer Ametlers
CL ARP. NAVARRO NOGUEROLES	Carrer Arxiprest Navarro Nogueroles
CL ARXIPRESTE VICENTE MENGOD	Carrer Arxiprest Vicent Mengod
CL ARXIPRESTE D'HITA	Carrer Arxiprest d' Hita
CL AVE MARIA	Carrer Ave Maria
CL BALADRE	Carrer Baladre
CL BARRACHINA	Carrer Barrachina
CL BARRANC DE CARRAIXET	Carrer Barranc del Carraixet
CL BERRUGUETE	Carrer Berruguete
CL BRONZERS	Carrer Bronzers
CL CAIXA D'ESTALVIS	Carrer Caixa d'Estalvis
CL CALDERERS	Carrer Calderers
CL CARNISSERS	Carrer Carnissers
CL CARTA POBLA DE TORRENT	Carrer Carta de Poblament
CL CASTROVIEJO	Carrer Castroviejo
CL CERAMISTES GILS	Carrer Ceramistes Gils
CL CISTELLERS	Carrer Cistellers
CL CONCA	Carrer Conca
CL CONCEPCION ARENAL	Carrer Concepción Arenal
CL CONCHA ESPINA	Carrer Concha Espina
CL CORDERS	Carrer Corders
CL CREU ROJA	Carrer Creu Roja
CL DOCTOR BARTUAL	Carrer Doctor Bartual
CL DOCTOR BELTRAN BAGUENA	Carrer Doctor Bartual
CL DOCTOR FERRAN	Carrer Doctor Ferran
CL DOCTOR MOLINER	Carrer Doctor Moliner
CL DOCTOR SERRA	Carrer Doctor Serra
CL DOMINICAL	Carrer Dominical
CL DOS DE MAIG	Carrer Dos de Maig
CL DRAPERS	Carrer Drapers
CL DUC D'ALBA	Carrer Duc d'Alba
CL PALMAR EL	Carrer El Palmar
CL EMILIANO FDEZ HERRAIZ	Carrer Emiliano Fernández Herráiz
CL ESCULTOR RAFAEL PI BELDA	Carrer Escultor Pi Belda
CL ESPANYOLETO	Carrer Espanyoleto
CL FEDERICO GARCIA LORCA	Carrer Federico García Lorca
CL FELIP II	Carrer Felip II
CL FERRERS	Carrer Ferrers
CL HIERRO	Carrer Ferro
CL FOIA DE BUNYOL	Carrer Foia de Bunyol
CL FONT DEL XORRO	Carrer Font del Xorro
CL FRARE JUNIPERO SERRA	Carrer Frare Junipero
CL FRARE LUIS DE LEON	Carrer Frare Luis de León
CL FUERTEVENTURA	Carrer Fuerteventura
CL FELIX PIZCUETA	Carrer Fèlix Pizcueta
CL GABRIEL MIRO	Carrer Gabriel Miró
CL GAYARRE	Carrer Gayarre
CL GELATERS	Carrer Gelaters
CL GENERAL CASTAÑOS	Carrer General Castaños
CL GENERAL CAVALCANTI	Carrer General Cavalcanti
CL GENERAL PALAFOX	Carrer General Palafox
CL GERANI	Carrer Gerani
CL GERMANS QUINTERO	Carrer Germans Quintero
CL GINEBRE	Carrer Ginebre
CL GINJOLER	Carrer Ginjoler
CL GODELLETA	Carrer Godelleta
CL GOMERA	Carrer Gomera
CL GRAN CANARIA	Carrer Gran Canaria
CL GUILLEM DE CASTRO	Carrer Guillem de Castro
CL HORT DE SORIANO	Carrer Hort de Soriano
CL ILLES COLUMBRETES	Carrer Illes Columbretes
CL INDUSTRIA	Carrer Industria
CL INDUSTRIALS DEL CARTO	Carrer Industrials del Cartó
CL JOAN PAU II	Carrer Joan Pau II
CL JORGE GUILLEN	Carrer Jorge Guillén
CL JOSE BENLLIURE	Carrer José Benlliure
CL JOSE MARIA SIMO NOGUES	Carrer José María Simó Nogués
CL JULIO ROMERO DE TORRES	Carrer Julio Romero de Torres
CL HORTICULTOR HERMOG LACASA	Carrer L'Horticultor Hermógenes
CL HOSPITAL	Carrer L'Hospital
CL PALMA LA	Carrer La Palma
CL LANZAROTE	Carrer Lanzarote
CL LLIBRERS	Carrer Librers
CL LLAURADOR FRANCISCO VIÑES	Carrer Llaurador Francisco Viñes Planells
CL LLAURADORS	Carrer Llauradors
CL LLORER	Carrer Llorer
CL LUIS CERNUDA	Carrer Luis Cernuda
CL MALVA-ROSA	Carrer Malvarrosa
CL MANUEL CORACHAN	Carrer Manuel Corachán
CL MANUEL SIUROT	Carrer Manuel Siurot
CL MANYANS	Carrer Manyans
CL MARE DE DEU DELS DOLORS	Carrer Mare de Déu dels Dolors
CL MARGARIDA	Carrer Margarida
CL MARIA GUERRERO	Carrer Maria Guerrero
CL MAS DEL JUTGE 2A	Carrer Mas del Jutge
CL MESTRA VALENTINA SEGURA	Carrer Mestra Valentina Segura Saenz
CL MESTRE BRETON	Carrer Mestre Bretón
CL MESTRE CHUECA	Carrer Mestre Chueca
CL MESTRE FALLA	Carrer Mestre Fallas
CL MESTRE GRANADOS	Carrer Mestre Granados
CL MESTRE JUAN PILES CHUST	Carrer Mestre Juan Piles Chust
CL MESTRE JUST CASABAN FABIA	Carrer Mestre Justo Casaban Fabia
CL MESTRE L FUERTES JULVEZ	Carrer Mestre L. Fuertes Julvez
CL MESTRE SOSA	Carrer Mestre Sosa
CL MIRACLES	Carrer Miracles
CL MISSIONER JESUS PLANELLS	Carrer Misioner Jesús Planells
CL MOLINERS	Carrer Moliners
CL MONTANEJOS	Carrer Montanejos
CL MONTSERRAT	Carrer Montserrat
CL MOSSEN FENOLLAR	Carrer Mossén Fenollar
CL MUSIC CABANILLES	Carrer Music Cabanilles
CL MUSIC MARIANO PUIG YAGO	Carrer Músic Mariano Puig Yago
CL NAVARRO REVERTER	Carrer Navarro Reverter
CL OLLERS	Carrer Ollers
CL ONTINYENT	Carrer Ontinyent
CL PABLO NERUDA	Carrer Pablo Neruda
CL PALACIO VALDES	Carrer Palacio Valdés
CL PALMERES	Carrer Palmeres
CL PALMITERS	Carrer Palmiters
CL PARET DECANTADA	Carrer Paret decantada
CL PASCUAL Y GENIS	Carrer Pasqual i Genís
CL PERIS Y VALERO	Carrer Peris i Valero
CL PINTOR JAV. ALMENAR BESO	Carrer Pintor Javier Almenar Beso
CL PIROTÈCNIC CAFIS	Carrer Pirotècnic "Cafís"
CL PLA	Carrer Pla
CL RAFAEL GONZALEZ BALDOVI	Carrer Rafael González Baldoví
CL RAJOLERS	Carrer Rajolers
CL REI EN JAUME	Carrer Rei En Jaume
CL REI PERE EL CERIMONIOS	Carrer Rei Pere El Ceremonios
CL RICARDO CERVERA CHULIA	Carrer Ricardo Cervera Chuliá
CL RIU CABRIOL	Carrer Riu Cabriol
CL RIU TURIA	Carrer Riu Tùria
CL ROSADA	Carrer Rosada
CL SANT ALEXANDRE	Carrer Sant Aleixandre
CL SANT COSME	Carrer Sant Cosme
CL SANT EZEQUIEL	Carrer Sant Ezequiel
CL SANTA BÀRBARA	Carrer Santa Bárbara
CL SANTA CECILIA	Carrer Santa Cecilia
CL SENDA NUMERO 2	Carrer Senda Nº 2
CL SOL	Carrer Sol
CL SONIA CARRERAS	Carrer Sonia Carreras
CL TARONGERS	Carrer Tarongers
CL TENERIFE	Carrer Tenerife
CL TIL.LER	Carrer Tiller
CL TONELLET	Carrer Tonellet
CL TORNS	Carrer Torns
TR BARRACHINA	Carrer Travessia de Barrachina
CL TULIPA	Carrer Tulipa
CL VALLE-INCLAN	Carrer Valle-Inclán
CL VELLUTERS	Carrer Velluters
CL MARE DE DEU DE FÀTIMA	Carrer Verge de Fàtima
CL VICENT MARIN I FERRER	Carrer Vicent Marin Ferrer
CL VICENTE ALEIXANDRE	Carrer Vicente Aleixandre
CL VILA JOIOSA	Carrer Vila Joiosa
CL WENCESLAO FDEZ. FLORES	Carrer W Fernández Flores
CL XELVA	Carrer Xelva
CL XENILLET	Carrer Xenillet
CL ADEMUS	Carrer d'Ademús
CL AGUSTIN MUÑOZ	Carrer d'Agustin Muñoz
CL AGUSTINA D'ARAGO	Carrer d'Agustina d'Aragó
CL AIORA	Carrer d'Aiora
CL ALAQUÀS	Carrer d'Alaquàs
CL ALBACETE	Carrer d'Albacete
CL ALBADES	Carrer d'Albades
CL ALBAIDA	Carrer d'Albaida
CM ALBAIDA	Carrer d'Albaida
CL ALBAL	Carrer d'Albal
CL ALBERIC	Carrer d'Alberic
CL ALBOCASSER	Carrer d'Albocàsser
CL ALBORAIG	Carrer d'Alborache
CL ALCALA GALIANO	Carrer d'Alcalà Galiano
CL PROLONG.ALCALA GALIANO	Carrer d'Alcalà Galiano
CL ALCÀSSER	Carrer d'Alcàsser
CL ALDAIA	Carrer d'Aldaia
CL ALFAFAR	Carrer d'Alfafar
CL ALMAGRO	Carrer d'Almagro
CL ALMANSOR	Carrer d'Almansor
CL ALMERIA	Carrer d'Almeria
CL ALMUSSAFES	Carrer d'Almussafes
CL ALZIRA	Carrer d'Alzira
CL AMÈRICA	Carrer d'Amèrica
CL ANDORRA	Carrer d'Andorra
CL ANTONIO MACHADO	Carrer d'Antonio Machado
CL ATENES-04	Carrer d'Athenas 2004
CL ATLANTA-96	Carrer d'Atlanta 96
CL AZORIN	Carrer d'Azorin
CL EDUARDO DATO	Carrer d'Eduardo Dato
CL EIVISSA	Carrer d'Eivissa
CL ESCORIAL	Carrer d'El Escorial
CL TOBOSO EL	Carrer d'El Toboso
CL ELENA TAMARIT	Carrer d'Elena Tamarit
CL ELX	Carrer d'Elx
CL EMILIO ATTARD ALONSO	Carrer d'Emilio Attard Alonso
CL ENCARNACION LANGA	Carrer d'Encarnació Langa
CL ENRIC VALOR	Carrer d'Enric Valor
CL ENRIQUE MIQUEL MOSSI	Carrer d'Enrique Miquel Mossi
CL ESPARTERO	Carrer d'Espartero
CL EUROPA	Carrer d'Europa
CL HÈLSINKI-52	Carrer d'Helsinki 52
CL HERNAN CORTES	Carrer d'Hernán Cortés
CL PROFESSOR IDILIO GIMENO	Carrer d'Idilio Gimeno
CL OSCA	Carrer d'Osca
CL OVIDI MONTLLOR	Carrer d'Ovidi Montllor
CL ÀVILA	Carrer d'Àvila
CL AUSIÀS MARCH	Carrer de Ausias March
CL BADAJOZ	Carrer de Badajoz
CL BAILEN	Carrer de Bailén
CL BAVIERA	Carrer de Baviera
CL BELLIDO	Carrer de Bellido
CL BENICADELL	Carrer de Benicadell
CL BENISSANO	Carrer de Benisanó
CL BENISSAET	Carrer de Benissaet
CL NUM 1 UE BENISAET	Carrer de Benissaet
CL BERNAT I BALDOVI	Carrer de Bernat i Baldoví
CL BUENOS AIRES	Carrer de Buenos Aires
CL BUNYOL	Carrer de Bunyol
CL BURGOS	Carrer de Burgos
CL CADIS	Carrer de Cadis
CL CALDERON DE LA BARCA	Carrer de Calderón de la Barca
CL CAMP DE MORVEDRE	Carrer de Camp de Morvedre
CL CARLET	Carrer de Carlet
CL CARLOS ARNICHES	Carrer de Carlos Arniches
CL CASTELLO	Carrer de Castelló
CL CATARROJA	Carrer de Catarroja
CL CAVITE	Carrer de Cavite
CL CERVANTES	Carrer de Cervantes
CL CIUTAT DEL ALTO	Carrer de Ciutat D'el Alto
CL CORBERA	Carrer de Corbera
CL CUBA	Carrer de Cuba
CL CULLERA	Carrer de Cullera
CL GRECO	Carrer de El Greco
CL SALVADOR	Carrer de El Salvador
CL EUCALIPTUS	Carrer de Eucaliptus
CL FEDERICO GARCIA SANCHIS	Carrer de Federico Garcia Sanchís
CL FEDERICO MAICAS	Carrer de Federico Maicas
CL FERNANDO FURIO ROCA	Carrer de Fernando Furió Roca
CL FRANCESC CABRELLES ROMERO	Carrer de Francesc Cabrelles Romero
CL FRANCISCO TARREGA	Carrer de Francisco Tarrega
CL GABRIEL CISNEROS LABORDA	Carrer de Gabriel Cisneros Laborda
CL GABRIELA MISTRAL	Carrer de Gabriela Mistral
CL GANDIA	Carrer de Gandia
