CL HONDURAS (GUIMAR)	Calle Honduras		
CM MORRA ABAJO (GUIMAR)		falta	
CL LATERAL ARAFO (GUIMAR)		http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=1332675CS6313S	falta
FC PIEDRA GORDA (GUIMAR)			
CL EDUARDO WESTHERDAL (GUIMAR)	Calle Eduardo Westerdhal		
CL FRANCISCO ORTUÑO (GUIMAR)	Calle Francisco Ortuño		
CL POETA ARISTIDES HERNANDEZ (GUIMAR)	Calle Poeta Arístides Hernández Mora		
CM IGLESIA (GUIMAR)		falta	
CL VICTOR PEREZ RODRIGUEZ (GUIMAR)		falta	
TR ARAFO TERCERA (GUIMAR)		falta	
CL PLAYA CHIMAGE (CHIMAJE)		falta	
CL BRISAS DE CHIMISAY (SOCORRO)	Calle Brisas de Chimisay		
CM SOCORRO (GUIMAR)	Camino del Socorro		
DS PLAZA LA HOYA (GUIMAR)			
DS CHACAICA CUARTA (GUIMAR)	Callejón los Cabreros		
CL LOMO GRILLO (GUIMAR)	Calle Lomo Grillo Arriba		
CM REAL (GUIMAR)	Camino Real		
LG ANOCHEZA (PAJARA)			
CL MARIA ROSA ALONSO (GUIMAR)	Calle Maria Rosa Alonso		
TR BARRANQUILLO 2 (GUIMAR)	Transversal Barranquillo de Salamanca Segunda		
DS LOMO VIENTO (PAJARA)			
BO HOYA (GUIMAR)			
CL ALFONSO GARCIA RAMOS (GUIMAR)	Calle Alfonso García Ramos		
CL PERU (GUIMAR)	Calle Perú		
CL CAPITAN J.DELGADO TRINIDA (ESCOBONAL EL)			
CL REPUBLICA DOMINICANA (GUIMAR)	Calle República Dominicana		
DS CHIÑICO (GUIMAR)			
UR PALMERAS LAS (PUERTITO GUIMAR)	Urbanización Las Palmeras		
PL PASITOS LOS POL (GUIMAR)		falta	
CL RABONA LA (MEDIDA LA)	Camino La Rabona		
CL MADRIGUERA (ESCOBONAL EL)		falta	
CL ALFEREZ BELTRAN (GUIMAR)	Calle Alférez Luis Beltrán de Lis		
CL LUIS BRAILLE (GUIMAR)	Calle Luis Braille		
CL BARRANQUILLO SALAMANCA (GUIMAR)	Calle Barranquillo de Salamanca		
CL AGUA (GUIMAR)	Calle del Agua		
CM COLORADAS (GUIMAR)	Camino las Coloradas		
DS MARREROS (GUIMAR)			
DS LOMO MARRERO (GUIMAR)			
TR PRIMERA AMAROS (GUIMAR)			
TR BELTRAN LIS 1 (GUIMAR)			
CL PERAL (GUIMAR)	Calle del Peral		
TR PRIMERA VENEZUELA (GUIMAR)	Lateral 1		
CL ALEGRANZA (LA CALETA) (CALETA LA)	Calle Alegranza	falta	
CL VIDAL (GUIMAR)	Calle Vidal Castellano González		
CJ CHACAICA CALLEJON 2 (GUIMAR)	Callejón los Cañeros		
CL BOLSA DE BASURA NEGRA (RESTO)			
PR COLORADAS (GUIMAR)			
CL CHINGUARO	Calle Chinguaro		
CL EMIGRANTE (TABLADO)	Calle el Emigrante		
CL BAJAS (PUERTITO GUIMAR)		falta	
DS ESPIGON EL (CALETA LA)			
CL DR RIGOBERTO DIAZ MELERO (GUIMAR)	Calle Doctor Rigoberto Díaz Melero		
DS VERA ARRIBA (GUIMAR)	Calle Vera de Arriba		
PZ SAN JUAN (GUIMAR)	Plaza de San Juan		
DS LOMO DE MENA (LOMO DE MENA)			
AV TOMAS CRUZ GARCIA (GUIMAR)			
CL ISAAC PERAL (PUERTITO GUIMAR)	Calle Isaac Peral	continuar	
CL ADELANTADO (GUIMAR)	Calle el Adelantado		
CL HOYA CARTAYA (GUIMAR)	Calle Hoya Cartaya		
CM LOMO DE MONTIJO (ESCOBONAL EL)		falta	
CL VEINTINUEVE JUN (GUIMAR)	Calle 29 de Junio		
PB ARGUECHE (ARGUECHE)			
CL TOMAS BAULEN PONTE (GUIMAR)	Calle Tomás Baulén Ponte		
CL MONSEÑOR HERNANDEZ JORGE (GUIMAR)	Calle Monseñor Hernández Jorge		
CL VERA ABAJO (GUIMAR)	Calle Vera de Abajo	dos núcleos	
DS VERA DE ARRIBA (ESCOBONAL EL)	Vera de Arriba		
CL PUENTE LA PRIMERA (PUENTE LA)		http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=2854704CS6225S	falta
CL CORUJERA (BARRANCOS LOS)	Camino de la Corujera		
CL CARMELO GARCIA CABRERA (GUIMAR)	Calle Carmelo García Cabrera		
CL NUÑEZ DE BALBOA (RESTO)	Calle Núñez de Balboa		
PR FINCA EL POZO (PUERTITO GUIMAR)			
CL PINTOR MANUEL GLEZ MENDEZ (GUIMAR)	Calle Pintor López Ruíz		
DS TAHONA (GUIMAR)			
CL PARAGUAY (GUIMAR)	Calle Paraguay		
CL MIGUEL CASTIL 2 (GUIMAR)		falta (Francisco Bermúdez González)	
CL TONINA (PUNTA PRIETA)	Calle Toninas		
CL BALANDRA (BARRANCOS LOS)	Calle la Balandra		
PR COSTA (GUIMAR)			
CM LOMO DE MONTIJO		http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=000110500CS62E	falta
CL SACERDOTE HERMANO JORGE (GUIMAR)		falta	falta
BO CORUJERA (ESCOBONAL EL)			
TR SOCORRO (GUIMAR)			
DS PASITOS DOS (GUIMAR)			
CL JESUS MARQUEZ MORENO (GUIMAR)	Calle Jesús Márquez Moreno		
PL GUAZA-SAN JUAN (GUIMAR)			
DS TAGORITO (LOMO DE MENA)			
AV MARITIMA EL SOCORRO (SOCORRO)	Avenida Marítima		
CL MAGALLANES (PUERTITO GUIMAR)	Calle de Magallanes		
CL ESPIGON (CALETA LA)	Calle Espigón		
CL NAZARET (GUIMAR)	Calle Nazaret		
CL JUAN SEBASTIAN CANO (PUERTITO GUIMAR)	Calle Juan Sebastián Elcano		
TR SAN PEDRO ARRIBA SEGUNDA (GUIMAR)			
DS RESBALA ARRIBA (MEDIDA LA)			
PR SAN JOSE PZ (ESCOBONAL EL)			
DS CASERIO ABAJO (LOMO DE MENA)			
CL LOMO FUEGO (ESCOBONAL EL)	Lomo del Fuego		
DS CHACONA ARRIBA (MEDIDA LA)	Chacona de Arriba		
CL POETA ARISTIDES HDEZ MORA (GUIMAR)	Calle Poeta Arístides Hernández Mora		
DS CAPITAN J DELGADO (ESCOBONAL EL)			
DS LATERAL N 7 (GUIMAR)			
DS PUERTITO GUIMAR (PUERTITO GUIMAR)			
BO CHACONA (GUIMAR)	Calle Chacona		
CL LOMO MEDIO (GUIMAR)		falta	
TR SEGUNDA AMAROS (GUIMAR)		falta	
CL CALETA TERCERA (CALETA LA)	Calle Alegranza	falta	
CL JUAN RAMOS BARRIOS (CALETA LA)	Calle Juan Ramos Barrios		
CL MALPAIS DE CERNICALO (GUIMAR)		falta	
CL EDELMIRA PEREZ CAMPOS (PUERTITO GUIMAR)	Calle Edelmira Pérez Campos		
CL AMERICO VESPUCIO (PUERTITO GUIMAR)	Calle Américo Vespucio		
LG CHINGUARO (GUIMAR)	Calle Chinguaro		
TR CHACONA PRIMERA (GUIMAR)			
CL IRENEO GONZALEZ(SAN JUAN) (GUIMAR)	Calle Ireneo González		
CL CEBADAL (PUNTA PRIETA)		falta	
CL AMIGOS ARTE (GUIMAR)	Calle Amigos del Arte		
CL ANTONIO GONZALEZ GONZALEZ (GUIMAR)	Calle Antonio González González		
CL CALVARIO (GUIMAR)	Calle Calvario		
CL MARRUVIAL (GUIMAR)	Calle Marrubial		
CL ARGENTINA (GUIMAR)	Calle Argentina		
TR SANTA CRUZ PRIMERA (GUIMAR)		falta	
CL OCHO SEPTIEMBRE (GUIMAR)	Calle 8 de Septiembre		
AV AXAENTEMIR (ESCOBONAL EL)	Avenida Axaentemir		
CL LUIS CAMPOS DIAZ (TABLADO)	Calle Luis Campos Díaz		
DS CHACONA ABAJO (GUIMAR)	Lugar Chacona de Abajo		
LG MORRA (ESCOBONAL EL)	Lugar La Morra	falta	
CM LATERAL AV.VENEZUELA (GUIMAR)		falta	
DS CALVARIO EL (LOMO DE MENA)	Lomo del Calvario		
CL PUENTE LA SEGUNDA (PUENTE LA)		falta	
PR MIGUEL CASTILLO (GUIMAR)			
LG LADERA (GUIMAR)	Camino de Badajoz		
CL CANDELA 3 LATER (GUIMAR)			
CL MONTAÑA CLARA (CALETA LA)	Calle Montaña Clara		
CL TAGOROR (GUIMAR)	Calle Tagoror		
TR CHACONA SEGUNDA (GUIMAR)			
CM CAMPO FUTBOL (GUIMAR)	Calle Hermanos Inglesco de Piombino		
CL BARRANCO DE GUAZA (GUIMAR)	Calle Vera del Barranco		
CL CHACAICA (GUIMAR)	Calle Chacaica		
CL FILIPINAS (GUIMAR)	Calle Filipinas		
AV SOCORRO (SOCORRO)	Avenida del Socorro		
LG MARRERA (PAJARA)			
DS LOMO MEDIO ARR (GUIMAR)			
LG TONAZO (GUIMAR)	Camino Tonazo		
CL TILOS (GUIMAR)	Calle de los Tilos		
CL AMISTAD LATERAL (GUIMAR)			
DS CHINGUARO PRIME (GUIMAR)			
CM PISTA RAMOS (GUIMAR)	Camino Pista Ramos		
PR TIRADA (ESCOBONAL EL)		falta	
CL ANTON GUANCHE (GUIMAR)	Calle Antón Guanche		
TR BARRANQUILLO 1 (GUIMAR)			
CL LOMO DON ANTONIO (GUIMAR)			
CM ZARZALES LOS (GUIMAR)	Camino de los Zarzales		
LG HENDIA (ESCOBONAL EL)	Lugar Hendia	falta	
CL JAGUA (GUIMAR)			
CL MIGUEL CASTILLO (GUIMAR)	Calle Miguel Castillo		
CM LOMO DE AMEA ABAJO			
BO LOMO MENA (LOMO DE MENA)	Lugar Lomo de Mena		
CL FLORES TOLOSA (GUIMAR)	Calle Flores y Tolosa		
CM JULIO (GUIMAR)			
CL SANTO DOMINGO (GUIMAR)	Calle Santo Domingo		
CL CARLOS R.GONZALEZ MESA (TABLADO)		falta	
CL JUAN GASPAR (GUIMAR)	Calle Juan Gaspar		
CL CHACONA  ARRIBA (MEDIDA LA)			
TR BRISAS DE CHIMISAY PRIMER (SOCORRO)			
CL SIETE DE SEPTIEMBRE (GUIMAR)			
TR SAN PEDRO ARRIBA CUARTA (GUIMAR)			
CL POLIGONO INDUSTRIAL (SOCORRO)			
CL TONINAS (PUNTA PRIETA)	Calle Toninas		
CR SUR (GUIMAR)	Carretera General del Sur		
CR GEN GUIMAR (GUIMAR)			
DS MOLINA (GUIMAR)			
PZ SAN PEDRO (GUIMAR)	Plaza de San Pedro		
CL PAJARA (PAJARA)	Lugar Pajara		
CL LOMO CRUZ (GUIMAR)	Calle Lomo de la Cruz		
CL VISTAS (ESCOBONAL EL)			
PR PUNTILLA FALINOS (BARRANCOS LOS)	Calle Toninas		
CL SAN JUAN (GUIMAR)	Calle San Juan		
CL FRANCISCO ALMEIDA FARIÑA (GUIMAR)		falta	
DS BARRANQUILLO (GUIMAR)			
CL PUENTE LA OCTAVA (PUENTE LA)		falta	
DS RABONA LA (MEDIDA LA)	Camino La Rabona		
CL RAYCO (GUIMAR)	Calle Rayco		
CL PEDRO GARCIA CABRERA (GUIMAR)	Calle Pedro García Cabrera		
CL SECUNDINO DELGADO (GUIMAR)	Calle Secundino Delgado		
CL LOMO FUEGO (GUIMAR)	Lomo del Fuego		
CL ECUADOR (GUIMAR)	Calle Ecuador		
CM SOCORRO EL (SOCORRO)	Camino del Socorro		
DS FRANCISCA CASTELLANA (GUIMAR)		AQUI	
CL CALETA SEGUNDA (CALETA LA)			falta
CL FRANCISCO ORDUÑO (GUIMAR)	Calle Francisco Ortuño		
AV PEDRO GUERRA CABRERA (GUIMAR)	Avenida Pedro Guerra Cabrera		
CL CALETA QUINTA (CALETA LA)	Calle Azores		falta
LG TOPO NEGRO (GUIMAR)	Topo Negro		
CR PUERTO PRIMERA LATERAL (GUIMAR)			
CM TONAZO (GUIMAR)	Camino Tonazo		
TR BALO (SOCORRO)			
DS MONTAÑA (GUIMAR)			
CM CHINGUARO DE (GUIMAR)		REVISAR	
PR VISTA RAMOS (GUIMAR)			
CL LLANOS (GUIMAR)		falta	
BR SALAMANCA (GUIMAR)			
CL VERA SALAMANCA (GUIMAR)	Calle Vera de Salamanca		
DS GRAL DEL SUR (GUIMAR)			
UR POLIGONO INDUSTRIAL (SOCORRO)			
PS MONTAÑA (SOCORRO)	Paseo de la Montaña		
PR MONTAÑA GRANDE (PUERTITO GUIMAR)			
CL ALCALA GALIANO (PUERTITO GUIMAR)	Calle Alcalá Galiano		
CM CERRILLO EL (LOMO DE MENA)			
CL HERNAN CORTES (PUERTITO GUIMAR)	Calle Hernán Cortés		
CL CIRILO EL TAMBORILERO (TABLADO)	Calle Cirilo el Tamborilero		
CL LUIS DELGADO TRINIDAD (GUIMAR)	Calle Luis Delgado Trinidad		
CR GUIMAR ARAFO (GUIMAR)	Carretera Arafo - Güimar		
DS BEJERAS LAS (ESCOBONAL EL)	Las Bejeras		
CM SAMARINES	Camino Samarines		
LG CATAÑO (GUIMAR)			
AV PORTUGAL (GUIMAR)	Avenida Portugal		
TR SAN PEDRO ARRIBA TERCERA (GUIMAR)			
CL LAJAS (GUIMAR)		falta	
DS CASETA DE ABAJO (LOMO DE MENA)	Caseta de Abajo		
DS HIDALGA LA (GUIMAR)			
CL ALBAHACA (SOCORRO)	Calle la Albahaca		
DS TOPO NEGRO (GUIMAR)			
CL CALETA PRIMERA (CALETA LA)		falta	
CL MILAGROSA (GUIMAR)	Calle Milagrosa		
CL BALO (SOCORRO)	Calle el Balo		
PR TABLERO (GUIMAR)			
CL FRANCISCO CASTELLANO PERE	Calle Francisca Castellano		
CL JUAN CASTRO MACIAS (TABLADO)		falta	
LG TIRO PIEDRA (GUIMAR)			
CL MIGUEL DELGADO HERNANDEZ (TABLADO)	Calle Miguel Delgado Hernández		
CL PUENTE LA CUARTA (PUENTE LA)		falta	
CL GUATEMALA (GUIMAR)	Calle Guatemala		
CL BOLIVIA (GUIMAR)	Calle Bolivia		
CL LOMO GRANDE ARR (GUIMAR)	Calle Lomo Grande Arriba		
DS HOYA LA PLATA (GUIMAR)			
CL TONAZO (GUIMAR)	Camino Tonazo		
CL NICARAGUA (GUIMAR)	Calle Nicaragua		
CL MENCEY ACAYMO (GUIMAR)	Calle Mencey Acaymo		
CM MELOZAR EL (GUIMAR)	Camino del Melozar		
UR CRUCES LAS (GUIMAR)			
CL PASEO DE LA VIRGEN (SOCORRO)	Calle Paseo de la Virgen		
LG MONTIJO (ESCOBONAL EL)		falta	
CL TORAL DE AGACHEN (CHIMAJE)			
LG HOYA BATISTA (GUIMAR)			
DS SAN JUAN (GUIMAR)			
CL RAYA LA	Calle la Raya		
DS LLANOS LOS (GUIMAR)			
DS TAMBORA ARRIBA (ESCOBONAL EL)			
BO CHIMAGE (BARRANCOS LOS)			
CL AGUSTIN A.GARCIA DIAZ (TABLADO)		falta	
CL SANTA URSULA (PUENTE LA)		falta	
CL PERAL LATERAL (GUIMAR)	Calle del Peral		
BR BORUGA (GUIMAR)			
CL TARO (GUIMAR)		REVISAR	
CL URUGUAY (GUIMAR)	Calle Uruguay		
CL PASITOS (GUIMAR)		falta	
CL HERMANOS PINZON (PUERTITO GUIMAR)	Calle Hermanos Pinzón		
CL BERTRAN LIS (GUIMAR)	Calle Alférez Luis Beltrán de Lis		
CL MENCEY AÑATERVE (GUIMAR)	Calle Mencey Añaterve		
CL LOMO VIENTO (PAJARA)		falta	
TR LUIS DELGADO TRINIDAD (GUIMAR)		falta	
CL NICANOR RIVERO (GUIMAR)	Calle Nicanor Rivero		
CL SAN SALVADOR (GUIMAR)	Calle San Salvador		
AV VENEZUELA (GUIMAR)	Avenida Venezuela		
AV MARITIMA (PUERTITO GUIMAR)	Avenida Marítima		
DS ORUGA (GUIMAR)			
CL BOGAVANTE (PUNTA PRIETA)	Calle Bogavante		falta
CL ARRASTRADERO DE ABAJO (PAJARA)	Lomo Arrastradero de Abajo		
CM CAÑAS DE LAS (GUIMAR)			
AV CRISTOBAL COLON (PUERTITO GUIMAR)	Avenida Cristóbal Colón		
CL LUAS (ESCOBONAL EL)			
CL TAMBORA ABAJO (ESCOBONAL EL)	Camino Tambora de Abajo		
CL MARQUES DE COMILLAS (PUERTITO GUIMAR)	Calle Marqués de Comillas		
CL PUENTE LA SEXTA (PUENTE LA)			
CL BARRANQUILLO (SOCORRO)	Callejón 1		
CR GRAL DEL SUR (GUIMAR)	Carretera General del Sur		
AV SANTA CRUZ (GUIMAR)	Avenida de Santa Cruz		
BO CONSTITUCION SEIS DICIEMB (GUIMAR)			
DS VOLCAN MADRIGUE (GUIMAR)			
PL MIGUEL CASTILLO (GUIMAR)			
CL TASAGAYA (GUIMAR)	Calle Tasagaya		
DS CHAMIZO (ESCOBONAL EL)			
CL SAN PEDRO ABAJO (GUIMAR)	Calle San Pedro de Abajo		
CL ESCULTOR OCAMPO (GUIMAR)	Calle Escultor Ocampo		
DS LOMO CASETA (LOMO DE MENA)			
PL IND VALLE GUIMAR MAN-F (SOCORRO)			
CL PIEDRA ESTILA (SOCORRO)	Calle Piedra Estila		
CL CALETA CUARTA (CALETA LA)	Calle Montaña Clara		
CL LIBERTAD (GUIMAR)	Calle Libertad		
CL ALMIRANTE GRAVINA (PUERTITO GUIMAR)	Calle Almirante Gravina		
LG CHOGO (GUIMAR)			
CL CRUCES LAS DE CHINGUARO (GUIMAR)			
CM TIRADA LA (ESCOBONAL EL)		falta	
CJ BURGADO (GUIMAR)	Callejón El Burgado		falta
PL TABLADO-SAU EL (ESCOBONAL EL)			
PR CIRILO EL TAMBORILERO (TABLADO)		falta	
CL PASEO DEL CRISTO (SOCORRO)	Paseo el Cristo		
CM BARRANCO DE BADAJOZ (GUIMAR)	Camino de Badajoz		
CL CRISANTO DELGADO GOMEZ (GUIMAR)	Calle Crisanto Delgado		
CL FRANCISCO BERMUDEZ GLEZ (GUIMAR)		falta	
LG RAYA (GUIMAR)	Calle la Raya		
DS PALOMA LA (GUIMAR)	Camino de la Paloma		
CL VASCO DE GAMA (PUERTITO GUIMAR)	Calle Vasco de Gama		
LG PINO (ESCOBONAL EL)	Carretera General del Sur		
CL ESCOBON (ESCOBONAL EL)	Calle el Escobón		
LG CUEVA NEGRA (GUIMAR)			
CL IMELDO SERIS (GUIMAR)	Calle Imeldo Serís		
PR PUERTO DE AGACHE (TABLADO)			
CL ALMIRANTE CHURRUCA (PUERTITO GUIMAR)	Calle Almirante Churruca		
CL BARRANQUILLO (GUIMAR)	Calle Barranquillo de San Juan		
CL MEJICO (GUIMAR)		falta	
CM LOMO DEL BUENO (LOMO DE MENA)	Lomo del Bueno		
CL A HDEZ MORA (GUIMAR)	Calle Poeta Arístides Hernández Mora		
TR VENEZUELA TERCERA (GUIMAR)			
LG SAMARINES (GUIMAR)	Camino Samarines		
CM MENDOZA LA (GUIMAR)		falta	
LG SALTO (ESCOBONAL EL)			
DS CHACAICA PRIMER (GUIMAR)			
CL TEOBALDO POWER (GUIMAR)	Calle Teobaldo Power		
CL PUNTA PRIETA (PUNTA PRIETA)	Calle Toninas		
CL AMISTAD (GUIMAR)	Calle Amistad		
