AV MEDITERRANI	Avinguda del Mediterrani
CL DE RAFAEL ALBERTI	Carrer de Rafael Alberti
CL RAFALELL	Carrer de Rafalell
CL RAMON Y CAJAL	Carrer de Ramon i Cajal
CL ROLLETO	Carrer de Rolleto
CL ROSALES	Carrer de Rosalies
CL SAGUNTO	Carrer de Sagunt
CL SAN LORENZO DE BRINDISI	Carrer de San Lorenzo de Brindis
CL SAN FRANCISCO	Carrer de Sant Francesc
CL SAN FELIX	Carrer de Sant Fèlix
CL SAN JUAN	Carrer de Sant Joan
CL SAN JOSE	Carrer de Sant Josep
CL SAN MIGUEL	Carrer de Sant Miquel
CL ZARAGOZA	Carrer de Saragossa
CL SERRETA	Carrer de Serreta
CL TEODORO LLORENTE	Carrer de Teodoro Llorente
CL TIERNO GALVAN	Carrer de Tierno Galván
CL TIRANT LO BLANCH	Carrer de Tirant lo Blanch
CL DE VICENT ANDRES ESTELLES	Carrer de Vicent Andrés Estelles
CL VICENTE ALEIXANDRE	Carrer de Vicente Aleixandre
CL VISTABELLA	Carrer de Vistabella
CL ALQUERIA	Carrer de l'Alqueria
CL AMETLLER	Carrer de l'Ametller
CR ESTACIO	Carrer de l'Estació
CL CIMA LOMA	Carrer de la Cima Loma
CL DE LA COVA	Carrer de la Cova
CL LLIBERTAT	Carrer de la Llibertat
CL MURTA LA	Carrer de la Murta
CL POBLA DE FARNALS	Carrer de la Pobla de Farnals
CL SERRA CALDERONA	Carrer de la Serra Calderona
CL TRAMUNTANA	Carrer de la Serra Tramuntana
CL VIRGEN DEL MILAGRO	Carrer de la Virgen del Milagro
CL ACACIAS	Carrer de les Acàcies
CL BARRAQUES	Carrer de les Barraques
CL CORTS VALENCIANES	Carrer de les Corts Valencianes
CL ESCOLES	Carrer de les Escoles
CL BARRANQUET	Carrer del Barranquet
CL CAMP DE MORVEDRE	Carrer del Camp de Morvedre
CL CAMI LLARI	Carrer del Camí Llari
CL DOCTOR BARRAQUER	Carrer del Doctor Barraquer
CL DOCTOR FLEMING	Carrer del Doctor Flèming
CL DOCTOR GOMEZ FERRER	Carrer del Doctor Gómez Ferrer
CL DOCTOR MARAÑON	Carrer del Doctor Marañón
CL DOCTOR MOLINER	Carrer del Doctor Moliner
CL HORNO DE LA CAL	Carrer del Forn de la Cal
CR LLAURADOR VALENCIA	Carrer del Llaurador Valencià
CL MAR	Carrer del Mar
CL MAESTRO RODRIGO	Carrer del Mestre Rodrigo
CL MOLI DE BAIX	Carrer del Molí Baix
CL MUSIC RICARD OLMOS DEL	Carrer del Músic Ricard Olmos
CL OESTE	Carrer de l'Oest
CL ATANASIO DE MANISES	Carrer del Pare Atanasio Manises
CL PINTOR FRANCISCO RIBALTA	Carrer del Pintor Francisco Ribera
CL PINTOR RIBERA	Carrer del Pintor Ribera
CL PINTOR VELAZQUEZ DEL	Carrer del Pintor Velázquez
CL POETA MIGUEL HERNANDEZ	Carrer del Poeta Miguel Herández
CL PUIG	Carrer del Puig
CR ROSARI	Carrer del Rosari
CL SOL	Carrer del Sol
CL ASTRONAUTAS	Carrer dels Astronautes
CL CLAVELES	Carrer dels Clavells
CL JUBILADOS	Carrer dels Jubilats
CL PASTORES	Carrer dels Pastors
CL ELS SERRANS	Carrer dels Serrans
CL OSCAR ESPLA	Carrer Óscar Esplá
PD CANTALLOPS	Partida de Cantallops
PD MAGDALENA LA	Partida de la Magdalena
PS METGE ENRIC OLMOS	Passeig del Metge Enric Olmos
PS JOAN CELDA DE	Passeig de Joan Celda de la Visitació
PD LLOMA LA	Passeig de la Lloma
PZ EUROPA	Plaça d'Europa
PZ MARTINEZ BENEYTO	Plaça de Martínez Beneyto
PZ NARCISO YEPES	Plaça de Narciso Yepes
PZ PROFESSOR MANUEL BROSETA	Plaça del Professor Manuel Broseta
PZ TARDOR DE LA	Plaça de la Tardor
PZ INMACULADA	Plaça de la Inmaculada
PZ EN PROYECTO	
PZ L'HORTA NORD	Plaça de l'Horta Nord
PZ CAMPANARIO	Plaça del Campanari
PZ JESUS	Plaça de Jesús
PZ PARE LAUREANO	Plaça de Laureano
PZ CONSTITUCIO	Plaça de la Constitució
PZ GENERALITAT	Plaça de la Generalitat
PZ NORIA DE LA	Plaça de la Nòria
PZ GLORIAS VALENCIANAS	Plaça de les Glòries Valencianes
PZ JUTJATS, DELS	Plaça dels Jutjats
PL POLIGONO NUMERO 1	
PL POLIGONO NUMERO 10	
PL POLIGONO NUMERO 3	
PL POLIGONO NUMERO 7	
PL POLIGONO NUMERO 8	
PL POLIGONO NUMERO 9	
TR CANO	Travessera de Cano
