AV JAUME I	Avinguda Jaume I
PD BARRANQUETS CL-26B	Partida Barranquets Carrer 26-B
PD BARRANQUETS CL-27	Partida Barranquets Carrer 27
PD BARRANQUETS CL-27A	Partida Barranquets Carrer 27-A
PD BARRANQUETS CL-28	Partida Barranquets Carrer 28
PD BARRANQUETS CL-28A	Partida Barranquets Carrer 28-A
PD BARRANQUETS CL-29	Partida Barranquets Carrer 29
PD BARRANQUETS CL-29A	Partida Barranquets Carrer 29-A
PD BARRANQUETS CL-03	Partida Barranquets Carrer 3
PD BARRANQUETS CL-30	Partida Barranquets Carrer 30
PD BARRANQUETS CL-30C	Partida Barranquets Carrer 30-C
PD BARRANQUETS CL-30D	Partida Barranquets Carrer 30
PD BARRANQUETS CL-30A	Partida Barranquets Carrer 30-A
PD BARRANQUETS CL-30B	Partida Barranquets Carrer 30-B
PD BARRANQUETS CL-31	Partida Barranquets Carrer 31
PD BARRANQUETS CL-32	Partida Barranquets Carrer 32
PD BARRANQUETS CL-33	Partida Barranquets Carrer 33
PD BARRANQUETS CL-33A	Partida Barranquets Carrer 33-A
PD BARRANQUETS CL-33B	Partida Barranquets Carrer 33-B
PD BARRANQUETS CL-34	Partida Barranquets Carrer 34
PD BARRANQUETS CL-35	Partida Barranquets Carrer 35
PD BARRANQUETS CL-36	Partida Barranquets Carrer 36
PD BARRANQUETS CL-36A	Partida Barranquets Carrer 36-A
PD BARRANQUETS CL-37	Partida Barranquets Carrer 37
PD BARRANQUETS CL-38	Partida Barranquets Carrer 38
PD BARRANQUETS CL-38A	Partida Barranquets Carrer 38-A
PD BARRANQUETS CL 38 C	Partida Barranquets Carrer 38-C
PD BARRANQUETS CL-39	Partida Barranquets Carrer 39
PD BARRANQUETS CL-39A	Partida Barranquets Carrer 39-A
PD BARRANQUETS CL-04	Partida Barranquets Carrer 4
PD BARRANQUETS CL-04A	Partida Barranquets Carrer 4-A
PD BARRANQUETS CL-04B	Partida Barranquets Carrer 4-B
PD BARRANQUETS CL 40	Partida Barranquets Carrer 40
PD BARRANQUETS CL 41	Partida Barranquets Carrer 41
PD BARRANQUETS CL 45	Partida Barranquets Carrer 45
PD BARRANQUETS CL 46	Partida Barranquets Carrer 46
PD BARRANQUETS CL 47	Partida Barranquets Carrer 47
PD BARRANQUETS CL-05	Partida Barranquets Carrer 5
PD BARRANQUETS CL-51	Partida Barranquets Carrer 51
PD BARRANQUETS CL-51A	Partida Barranquets Carrer 51-A
PD BARRANQUETS CL-51B	Partida Barranquets Carrer 51-B
PD BARRANQUETS CL-53	Partida Barranquets Carrer 53
PD BARRANQUETS CL-54	Partida Barranquets Carrer 54
PD BARRANQUETS CL-54A	Partida Barranquets Carrer 54-A
PD BARRANQUETS CL-54B	Partida Barranquets Carrer 54-B
PD BARRANQUETS CL-55	Partida Barranquets Carrer 55
PD BARRANQUETS CL-06	Partida Barranquets Carrer 6
PD BARRANQUETS CL-07	Partida Barranquets Carrer 7
PD BARRANQUETS CL-07B	Partida Barranquets Carrer 7-B
PD BARRANQUETS CL-08	Partida Barranquets Carrer 8
	
PD BARRANQUETS CL-09	Partida Barranquets Carrer 9
PD BARRANQUETS CL-09A	Partida Barranquets Carrer 9-A
PD BARRANQUETS CL-09B	Partida Barranquets Carrer 9-B
PD BUSCARRONS CL-01	Partida Buscarrons Carrer 1
PD BUSCARRONS CL-04	Partida Buscarrons Carrer 4
PD BUSCARRONS CL-04B	Partida Buscarrons Carrer 4-B
PD BUSCARRONS CL-05	Partida Buscarrons Carrer 5
PD BUSCARRONS CL-05A	Partida Buscarrons Carrer 5-A
	
	
PD CLOTS	els Clots
PD XIRONETS CL 15-A	Partida Gironets Carrer 15-A
PD HORTES-NORD	Carrer Hortes
	
PD PLATJA ALMADRAVA CL-01D	Partida Platja Almadrava 1-D
PD PLATJA ALMADRAVA CL-12A	Partida Platja Almadrava 12-A
PD PLATJA ALMADRAVA CL-14	Partida Platja Almadrava 14
PD PLATJA ALMADRAVA CL-14A	Partida Platja Almadrava 14-A
PD PLATJA ALMADRAVA CL-17A	Partida Platja Almadrava 17-A
PD PLATJA ALMADRAVA CL-01A	Partida Platja Almadrava Carrer 1-A
PD PLATJA ALMADRAVA CL-10	Partida Platja Almadrava Carrer 10
PD PLATJA ALMADRAVA CL-11	Partida Platja Almadrava Carrer 11
PD PLATJA ALMADRAVA CL-12	Partida Platja Almadrava Carrer 12
PD PLATJA ALMADRAVA CL-13	Partida Platja Almadrava Carrer 13
PD PLATJA ALMADRAVA CL-15	Partida Platja Almadrava Carrer 15
PD PLATJA ALMADRAVA CL-16	Partida Platja Almadrava Carrer 16
PD PLATJA ALMADRAVA CL-17	Partida Platja Almadrava Carrer 17
PD PLATJA ALMADRAVA CL-18	Partida Platja Almadrava Carrer 18
PD PLATJA ALMADRAVA CL-19	Partida Platja Almadrava Carrer 19
PD PLATJA ALMADRAVA CL-02	Partida Platja Almadrava Carrer 2
PD PLATJA ALMADRAVA CL-20	Partida Platja Almadrava Carrer 20
PD PLATJA ALMADRAVA CL-20B	Partida Platja Almadrava Carrer 20-B
PD PLATJA ALMADRAVA CL-20C	Partida Platja Almadrava Carrer 20-C
PD PLATJA ALMADRAVA CL-20D	Partida Platja Almadrava Carrer 20-D
PD PLATJA ALMADRAVA CL-20A	Partida Platja Almadrava Carrer 20-A
PD PLATJA ALMADRAVA CL-21	Partida Platja Almadrava Carrer 21
PD PLATJA ALMADRAVA CL-22	Partida Platja Almadrava Carrer 22
PD PLATJA ALMADRAVA CL-22B	Partida Platja Almadrava Carrer 22-B
PD PLATJA ALMADRAVA CL-24	Partida Platja Almadrava Carrer 24
PD PLATJA ALMADRAVA CL-23	Partida Platja Almadrava Carrer 23
	
PD PLATJA ALMADRAVA CL-03	Partida Platja Almadrava Carrer 3
	
	
PD PLATJA ALMADRAVA CL-04	Partida Platja Almadrava Carrer 4
	
PD PLATJA ALMADRAVA CL-05	Partida Platja Almadrava Carrer 5
	
PD PLATJA ALMADRAVA CL-01	Partida Platja Almadrava Carrer 1
PD PLATJA ALMADRAVA CL-06	Partida Platja Almadrava Carrer 6
PD PLATJA ALMADRAVA CL-06A	Partida Platja Almadrava Carrer 6-A
PD PLATJA ALMADRAVA CL-06B	Partida Platja Almadrava Carrer 6-B
PD PLATJA ALMADRAVA CL-06C	Partida Platja Almadrava Carrer 6-C
PD PLATJA ALMADRAVA CL-06D	Partida Platja Almadrava Carrer 6-D
	
PD PLATJA ALMADRAVA CL-07	Partida Platja Almadrava Carrer 7
PD PLATJA ALMADRAVA CL-08	Partida Platja Almadrava Carrer 8
PD PLATJA ALMADRAVA CL-08A	Partida Platja Almadrava Carrer 8-A
PD PLATJA ALMADRAVA CL-09	Partida Platja Almadrava Carrer 9
	
PD REVOLTES CL-01	Partida Revoltes Carrer 1
PD REVOLTES CL-01D	Partida Revoltes Carrer 1-D
PD REVOLTES CL-01E	Partida Revoltes Carrer 1-E
PD XIRONETS CL-09	Partida Gironets Carrer 9
PD XIRONETS CL-10	Partida Gironets Carrer 10
PD XIRONETS CL-10B	Partida Gironets Carrer 10-B
PD XIRONETS CL-10C	Partida Gironets Carrer 10-C
PD XIRONETS CL-12	Partida Gironets Carrer 12
PD XIRONETS CL-13	Partida Gironets Carrer 13
PD XIRONETS CL-14	Partida Gironets Carrer 14
PD XIRONETS CL-14A	Partida Gironets Carrer 14-A
PD XIRONETS CL-21	Partida Gironets Carrer 21
PD XIRONETS CL-24	Partida Gironets Carrer 24
PD XIRONETS CL 10A BIS	Partida Gironets Carrer 10-D
	
PD REVOLTES CL-01A	Partida Revoltes Carrer 1-A
PD XIRONETS CL-18A	Partida Gironets Carrer 18-A
PD XIRONETS CL-20A	Partida Gironets Carrer 20-A
PD XIRONETS CL-24A	Partida Gironets Carrer 24-A
PD REVOLTES CL-01B	Partida Revoltes Carrer 1-B
PD XIRONETS CL-18B	Partida Gironets Carrer 18-B
PD REVOLTES CL-01C	Partida Revoltes Carrer 1-C
PD XIRONETS CL-10A	Partida Gironets Carrer 10-A
PD XIRONETS CL-22	Partida Gironets Carrer 22
	
PD REVOLTES CL 01 F	Partida Revoltes Carrer 1-F
PD REVOLTES CL-02	Partida Revoltes Carrer 2
PD XIRONETS CL-23	Partida Gironets Carrer 23
PD XIRONETS CL-25	Partida Gironets Carrer 25
PD XIRONETS CL-26	Partida Gironets Carrer 26
PD REVOLTES CL-03A	Partida Revoltes Carrer 3-A
PD REVOLTES CL-03B	Partida Revoltes Carrer 3-B
PD REVOLTES CL-04	Partida Revoltes Carrer 4
PD REVOLTES CL 05	Partida Revoltes Carrer 5
	
	
PD SORTS DE LA MAR CL-12	Partida Sorts de la Mar Carrer 12
PD SORTS DE LA MAR CL-13	Partida Sorts de la Mar Carrer 13
PD SORTS DE LA MAR CL-14	Partida Sorts de la Mar Carrer 14-A
PD SORTS DE LA MAR CL-15	Partida Sorts de la Mar Carrer 15
PD SORTS DE LA MAR CL-16	Partida Sorts de la Mar Carrer 16
PD SORTS DE LA MAR CL-18	Partida Sorts de la Mar Carrer 18
PD SORTS DE LA MAR CL-19	Partida Sorts de la Mar Carrer 19
PD SORTS DE LA MAR CL-21	Partida Sorts de la Mar Carrer 21
PD SORTS DE LA MAR CL-22B	Partida Sorts de la Mar Carrer 22-B
PD XIRONETS CL-07	Partida Gironets Carrer 7
PD XIRONETS CL-07A	Partida Gironets Carrer 7-A
PD XIRONETS CL-11	Partida Gironets Carrer 11
	
PD SORTS DE LA MAR CL-01	Partida Sorts de la Mar Carrer 1
PD SORTS DE LA MAR CL-10	Partida Sorts de la Mar Carrer 10
PD SORTS DE LA MAR CL-11	Partida Sorts de la Mar Carrer 11
	
	
	
PD SORTS DE LA MAR CL-14A	Partida Sorts de la Mar Carrer 14-A
PD SORTS DE LA MAR CL-16B	Partida Sorts de la Mar Carrer 16-B
CL SORTS DE LA MAR CL-16C	Partida Sorts de la Mar Carrer 16-C
PD SORTS DE LA MAR CL-16A	Partida Sorts de la Mar Carrer 16-A
PD SORTS DE LA MAR CL-02	Partida Sorts de la Mar Carrer 2
PD SORTS DE LA MAR CL-02A	Partida Sorts de la Mar Carrer 2-A
PD SORTS DE LA MAR CL-20	Partida Sorts de la Mar Carrer 20
PD SORTS DE LA MAR CL-22C	Partida Sorts de la Mar Carrer 22-C
PD SORTS DE LA MAR CL-22	Partida Sorts de la Mar Carrer 22
PD SORTS DE LA MAR CL-23	Partida Sorts de la Mar Carrer 23
	
PD SORTS DE LA MAR CL-24	Partida Sorts de la Mar Carrer 24
PD SORTS DE LA MAR CL-25	Partida Sorts de la Mar Carrer 25
PD SORTS DE LA MAR CL-26A	Partida Sorts de la Mar Carrer 26-A
PD SORTS DE LA MAR CL-03	Partida Sorts de la Mar Carrer 3
PD SORTS DE LA MAR CL-04	Partida Sorts de la Mar Carrer 4
PD SORTS DE LA MAR CL-05	Partida Sorts de la Mar Carrer 5
PD SORTS DE LA MAR CL-06	Partida Sorts de la Mar Carrer 6
PD SORTS DE LA MAR CL-07	Partida Sorts de la Mar Carrer 7
PD SORTS DE LA MAR CL-08	Partida Sorts de la Mar Carrer 8
PD SORTS DE LA MAR CL-09	Partida Sorts de la Mar Carrer 9
	
PD XIRONETS CL-01	Partida Gironets Carrer 1
PD XIRONETS CL-01A	Partida Gironets Carrer 1-A
PD XIRONETS CL-01B	Partida Gironets Carrer 1-B
PD XIRONETS CL-01C	Partida Gironets Carrer 1-C
PD XIRONETS CL-02	Partida Gironets Carrer 2
PD XIRONETS CL-02A	Partida Gironets Carrer 2-A
PD XIRONETS CL-02B	Partida Gironets Carrer 2-B
PD XIRONETS CL-02D	Partida Gironets Carrer 2-D
PD XIRONETS CL-02E	Partida Gironets Carrer 2-E
PD XIRONETS CL-03	Partida Gironets Carrer 3
PD XIRONETS CL-04	Partida Gironets Carrer 4
PD XIRONETS CL-04A	Partida Gironets Carrer 4-A
PD XIRONETS CL-05	Partida Gironets Carrer 5
PD XIRONETS CL-06	Partida Gironets Carrer 6
PD XIRONETS CL-08	Partida Gironets Carrer 8
PD XIRONETS CL-08A	Partida Gironets Carrer 8-A
PD XIRONETS CL-08B	Partida Gironets Carrer 8-B
PD XIRONETS CL-11A	Partida Gironets Carrer 11-A
PD XIRONETS CL-15	Partida Gironets Carrer 15
PD XIRONETS CL-16	Partida Gironets Carrer 16
PD XIRONETS CL-19	Partida Gironets Carrer 19
PD XIRONETS CL-20	Partida Gironets Carrer 20
PD XIRONETS CL-22A	Partida Gironets Carrer 22-A
PZ CASTELL DEL	Plaça del Castell
	
CL ARXIDUC CARLES	carrer Arxiduc Carles
CL AUSIAS MARCH	carrer Ausiàs March
CL CORTS VALENCIANES	carrer Corts Valencianes
CL GIRONA	carrer Girona
CL JOAN FUSTER	carrer Joan Fuster
CL LUGNANO IN TEVERINA	carrer Lugnano in Teverina
CL MOLINO	carrer Molí
CL TRINQUET	carrer Trinquet
CL VICARIO CISCAR	carrer Vicari Ciscar
CL VICENT FERRER	carrer Vicent Ferrer
CL MTRO VICENTE	avinguda del Mestre Vicent
PZ SALVADOR EL	plaça del Salvador
